"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C9";"C_1210_3225Metric_Pad1.33x2.70mm_HandSolder";1;"1uF";;;
2;"R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"86.6K";;;
3;"C29,C30";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"22pF";;;
4;"D3";"LED_D1.8mm_W3.3mm_H2.4mm";1;"LED_R";;;
5;"C6,C4,C5";"C_Radial_D6.3mm_H11.0mm_P2.50mm";3;"10uF / 100V";;;
6;"C54,C37,C26,C56,C48,C36,C50,C51,C53,C41,C47,C24,C18,C21,C20,C23";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";16;"100nF";;;
7;"C16";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"15nF";;;
8;"C39,C40,C88,C90,C57";"C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";5;"4.7uF";;;
9;"R22";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"120R";;;
10;"J7,J10,J12,J3";"PinSocket_1x02_P2.00mm_Horizontal";4;"Conn_01x02";;;
11;"R15,R14,R10,R25,R9,R24,R16";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";7;"4.7K";;;
12;"Q16,Q19,Q18,Q7,Q20,Q6,Q21,Q9,Q15,Q8,Q14,Q17";"TRANS_IAUS300N08S5N014ATMA1";12;"IAUS300N08S5N0";;;
13;"C33,C35,C34";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";3;"10nF";;;
14;"C12,C14";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"2.2uF";;;
15;"J4";"PinSocket_1x02_P2.00mm_Vertical";1;"Conn_01x02";;;
16;"R53,R54";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"22";;;
17;"R31,R35,R30,R36,R55,R27,R56,R34,R33,R26,R32,R57,R28,R13,R37";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";15;"10R";;;
18;"R64,R63,R69,R58,R59,R68";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";6;"10k";;;
19;"C10";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;".1uF";;;
